10 : 10, data missing, NULL
6 2 1 1 : 5 2 1 1 1, data missing, 5
6 2 1 1 : 5 1 1 1 1 1, data missing, 8
6 2 1 1 : 4 4 2, data missing, 0
6 2 1 1 : 4 4 1 1, data missing, 0
6 2 1 1 : 4 3 3, data missing, 1
6 2 1 1 : 4 3 2 1, data missing, 1
6 2 1 1 : 4 3 1 1 1, data missing, 5
6 2 1 1 : 4 2 2 2, data missing, 2
6 2 1 1 : 4 2 2 1 1, data missing, 5
6 2 1 1 : 4 2 1 1 1 1, data missing, 8
6 2 1 1 : 4 1 1 1 1 1 1, data missing, 11
6 2 1 1 : 3 3 3 1, data missing, 1
6 2 1 1 : 3 3 2 2, data missing, 2
6 2 1 1 : 3 3 2 1 1, data missing, 5
6 2 1 1 : 3 3 1 1 1 1, data missing, 8
6 2 1 1 : 3 2 2 2 1, data missing, 5
6 2 1 1 : 3 2 2 1 1 1, data missing, 8
6 2 1 1 : 3 2 1 1 1 1 1, data missing, 11
6 2 1 1 : 3 1 1 1 1 1 1 1, 1399*x**14/311351040 + 15149*x**13/98841600 + 14863*x**12/6220800 + 57301*x**11/2534400 + 905083*x**10/6220800 + 467099*x**9/691200 + 102127463*x**8/43545600 + 4287839*x**7/691200 + 78504629*x**6/6220800 + 2273293*x**5/115200 + 401376727*x**4/17107200 + 19672921*x**3/950400 + 25404731*x**2/1965600 + 8863*x/1716 + 1, 14
6 2 1 1 : 2 2 2 2 2, data missing, 5
6 2 1 1 : 2 2 2 2 1 1, data missing, 8
6 2 1 1 : 2 2 2 1 1 1 1, data missing, 11
6 2 1 1 : 2 2 1 1 1 1 1 1, 85991*x**14/17435658240 + 78431*x**13/461260800 + 2567671*x**12/958003200 + 909907*x**11/35481600 + 2074673*x**10/12441600 + 2521151*x**9/3225600 + 1665328921*x**8/609638400 + 23403251*x**7/3225600 + 643044569*x**6/43545600 + 18546193*x**5/806400 + 463255141*x**4/17107200 + 6508069*x**3/277200 + 269635937*x**2/18918900 + 81989*x/15015 + 1, 14
6 2 1 1 : 2 1 1 1 1 1 1 1 1, data missing, 17
6 1 1 1 1 : 6 1 1 1 1, data missing, 0
6 1 1 1 1 : 5 5, data missing, 0
6 1 1 1 1 : 5 4 1, data missing, -1
6 1 1 1 1 : 5 3 2, data missing, -1
6 1 1 1 1 : 5 3 1 1, data missing, -1
6 1 1 1 1 : 5 2 2 1, data missing, -1
6 1 1 1 1 : 5 2 1 1 1, data missing, 0
6 1 1 1 1 : 5 1 1 1 1 1, data missing, 4
6 1 1 1 1 : 4 4 2, data missing, -1
6 1 1 1 1 : 4 4 1 1, data missing, -1
6 1 1 1 1 : 4 3 3, data missing, 0
6 1 1 1 1 : 4 3 2 1, data missing, -1
6 1 1 1 1 : 4 3 1 1 1, data missing, 0
6 1 1 1 1 : 4 2 2 2, data missing, 0
