9 : 9, Unable to create polyhedron or calculate h*, NULL, time: 0.8121199607849121s
4 3 1 1 : 2 2 1 1 1 1 1, 30*x^7 + 600*x^6 + 2900*x^5 + 4780*x^4 + 2916*x^3 + 649*x^2 + 44*x + 1, 11, time: 0.6400630474090576s
4 3 1 1 : 2 1 1 1 1 1 1 1, 265*x^9 + 8745*x^8 + 72330*x^7 + 218281*x^6 + 275730*x^5 + 152040*x^4 + 35714*x^3 + 3270*x^2 + 96*x + 1, 14, time: 6.98086404800415s
4 2 2 1 : 4 2 2 1, 1, 0, time: 0.13231301307678223s
4 2 2 1 : 4 2 1 1 1, 1, 1, time: 0.21506094932556152s
4 2 2 1 : 4 1 1 1 1 1, x^2 + 1, 4, time: 0.32085204124450684s
4 2 2 1 : 3 3 3, 1, 0, time: 0.08272099494934082s
4 2 2 1 : 3 3 2 1, 1, 0, time: 0.13145899772644043s
4 2 2 1 : 3 3 1 1 1, 1, 1, time: 0.19944286346435547s
4 2 2 1 : 3 2 2 2, 1, 2, time: 0.12883901596069336s
4 2 2 1 : 3 2 2 1 1, 1, 5, time: 0.19474101066589355s
4 2 2 1 : 3 2 1 1 1 1, 11*x^2 + 4*x + 1, 8, time: 0.3042731285095215s
4 2 2 1 : 3 1 1 1 1 1 1, 60*x^6 + 390*x^5 + 846*x^4 + 648*x^3 + 192*x^2 + 18*x + 1, 11, time: 0.5959317684173584s
4 2 2 1 : 2 2 2 2 1, 3*x^2 + 6*x + 1, 5, time: 0.19996404647827148s
4 2 2 1 : 2 2 2 1 1 1, 9*x^4 + 54*x^3 + 57*x^2 + 15*x + 1, 8, time: 0.30246996879577637s
4 2 2 1 : 2 2 1 1 1 1 1, 26*x^7 + 438*x^6 + 2056*x^5 + 3426*x^4 + 2158*x^3 + 502*x^2 + 38*x + 1, 11, time: 0.6259968280792236s
4 2 2 1 : 2 1 1 1 1 1 1 1, 70*x^10 + 2989*x^9 + 37920*x^8 + 186311*x^7 + 402045*x^6 + 401331*x^5 + 185850*x^4 + 38220*x^3 + 3171*x^2 + 90*x + 1, 14, time: 8.384252071380615s
4 2 1 1 1 : 4 2 1 1 1, 1, 0, time: 0.20026588439941406s
4 2 1 1 1 : 4 1 1 1 1 1, 1, 3, time: 0.3173689842224121s
4 2 1 1 1 : 3 3 3, 1, 0, time: 0.08565402030944824s
4 2 1 1 1 : 3 3 2 1, 0, -1, time: 0.013157844543457031s
4 2 1 1 1 : 3 3 1 1 1, 1, 0, time: 0.20264911651611328s
4 2 1 1 1 : 3 2 2 2, 1, 1, time: 0.12583589553833008s
4 2 1 1 1 : 3 2 2 1 1, 1, 1, time: 0.19370603561401367s
4 2 1 1 1 : 3 2 1 1 1 1, 1, 7, time: 0.2983357906341553s
4 2 1 1 1 : 3 1 1 1 1 1 1, 10*x^6 + 60*x^5 + 165*x^4 + 164*x^3 + 78*x^2 + 12*x + 1, 11, time: 0.5134470462799072s
4 2 1 1 1 : 2 2 2 2 1, 1, 2, time: 0.1999661922454834s
4 2 1 1 1 : 2 2 2 1 1 1, 4*x + 1, 7, time: 0.3004801273345947s
4 2 1 1 1 : 2 2 1 1 1 1 1, x^7 + 28*x^6 + 176*x^5 + 420*x^4 + 399*x^3 + 158*x^2 + 22*x + 1, 11, time: 0.5062727928161621s
4 2 1 1 1 : 2 1 1 1 1 1 1 1, 21*x^10 + 1084*x^9 + 13925*x^8 + 67556*x^7 + 145327*x^6 + 148512*x^5 + 73360*x^4 + 17080*x^3 + 1751*x^2 + 68*x + 1, 15, time: 2.99391508102417s
4 1 1 1 1 1 : 4 1 1 1 1 1, 1, 0, time: 0.36170315742492676s
4 1 1 1 1 1 : 3 3 3, 0, -1, time: 0.02796483039855957s
4 1 1 1 1 1 : 3 3 2 1, 0, -1, time: 0.04774212837219238s
4 1 1 1 1 1 : 3 3 1 1 1, 0, -1, time: 0.05317997932434082s
4 1 1 1 1 1 : 3 2 2 2, 0, -1, time: 0.05115199089050293s
4 1 1 1 1 1 : 3 2 2 1 1, 0, -1, time: 0.051184892654418945s
4 1 1 1 1 1 : 3 2 1 1 1 1, 1, 0, time: 0.3373870849609375s
4 1 1 1 1 1 : 3 1 1 1 1 1 1, 1, 5, time: 0.567018985748291s
4 1 1 1 1 1 : 2 2 2 2 1, 0, -1, time: 0.03429293632507324s
4 1 1 1 1 1 : 2 2 2 1 1 1, 1, 0, time: 0.3429298400878906s
4 1 1 1 1 1 : 2 2 1 1 1 1 1, 1, 5, time: 0.5418088436126709s
4 1 1 1 1 1 : 2 1 1 1 1 1 1 1, x^4 + 10*x^3 + 20*x^2 + 10*x + 1, 10, time: 0.9220161437988281s
3 3 3 : 3 3 3, 1, 0, time: 0.08205294609069824s
3 3 3 : 3 3 2 1, 1, 0, time: 0.1340351104736328s
3 3 3 : 3 3 1 1 1, 1, 0, time: 0.21030807495117188s
3 3 3 : 3 2 2 2, 1, 0, time: 0.14823198318481445s
3 3 3 : 3 2 2 1 1, 1, 1, time: 0.2044508457183838s
3 3 3 : 3 2 1 1 1 1, 1, 2, time: 0.32991504669189453s
3 3 3 : 3 1 1 1 1 1 1, x^2 + x + 1, 3, time: 0.565626859664917s
3 3 3 : 2 2 2 2 1, 1, 2, time: 0.2102818489074707s
3 3 3 : 2 2 2 1 1 1, x^2 + x + 1, 4, time: 0.3238818645477295s
3 3 3 : 2 2 1 1 1 1 1, x^3 + 9*x^2 + 4*x + 1, 6, time: 0.5627260208129883s
3 3 3 : 2 1 1 1 1 1 1 1, 36*x^4 + 96*x^3 + 72*x^2 + 12*x + 1, 8, time: 2.141608953475952s
3 3 2 1 : 3 3 2 1, 1, 0, time: 0.13799715042114258s
3 3 2 1 : 3 3 1 1 1, 1, 1, time: 0.22086000442504883s
3 3 2 1 : 3 2 2 2, 1, 1, time: 0.13699007034301758s
3 3 2 1 : 3 2 2 1 1, 1, 3, time: 0.2159419059753418s
3 3 2 1 : 3 2 1 1 1 1, 3*x^2 + 2*x + 1, 5, time: 0.3591020107269287s
3 3 2 1 : 3 1 1 1 1 1 1, 9*x^4 + 32*x^3 + 35*x^2 + 8*x + 1, 7, time: 0.5775480270385742s
3 3 2 1 : 2 2 2 2 1, 3*x^2 + 2*x + 1, 5, time: 0.2306079864501953s
3 3 2 1 : 2 2 2 1 1 1, 9*x^4 + 33*x^3 + 36*x^2 + 8*x + 1, 8, time: 0.3174409866333008s
3 3 2 1 : 2 2 1 1 1 1 1, 4*x^7 + 142*x^6 + 864*x^5 + 1705*x^4 + 1186*x^3 + 304*x^2 + 24*x + 1, 11, time: 0.6537129878997803s
